"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"1",11625,"BANKW","A","LF","Cover","U","TEMP_NAMC",127,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","U",NA,"U"
"3",11625,"BANKW","A","RT","Cover","C","TEMP_NAMC",130,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"9",11625,"BANKW","AB","RT","Cover","C","TEMP_NAMC",136,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"10",11625,"BANKW","AB","LF","Cover","C","TEMP_NAMC",133,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"11",11625,"BANKW","C","LF","Cover","C","TEMP_NAMC",151,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"14",11625,"BANKW","C","RT","Cover","U","TEMP_NAMC",154,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","U",NA,"U"
"17",11625,"BANKW","CD","LF","Cover","C","TEMP_NAMC",157,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"20",11625,"BANKW","CD","RT","Cover","C","TEMP_NAMC",160,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"23",11625,"BANKW","D","LF","Cover","C","TEMP_NAMC",163,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"26",11625,"BANKW","D","RT","Cover","C","TEMP_NAMC",166,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
"29",11625,"BANKW","DE","LF","Cover","C","TEMP_NAMC",169,TRUE,"O",2013-11-26,9999-12-31,NA,"AR-LS-8003","LS","C",NA,"C"
