"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"157",11625,"CANCOVERW","A","CU","DENSIOM","7",NA,194347,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7",7,"7"
"158",11625,"CANCOVERW","A","CL","DENSIOM","14",NA,194348,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","14",14,"14"
"159",11625,"CANCOVERW","A","CD","DENSIOM","13",NA,194349,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","13",13,"13"
"160",11625,"CANCOVERW","A","CR","DENSIOM","12",NA,194350,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","12",12,"12"
"161",11625,"CANCOVERW","A","LF","DENSIOM","17",NA,194351,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"162",11625,"CANCOVERW","A","RT","DENSIOM","17",NA,194352,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"163",11625,"CANCOVERW","B","CU","DENSIOM","17","U",194397,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"164",11625,"CANCOVERW","B","CL","DENSIOM","17","U",194398,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"165",11625,"CANCOVERW","B","CD","DENSIOM","17","U",194399,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"166",11625,"CANCOVERW","B","CR","DENSIOM","17","U",194400,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"167",11625,"CANCOVERW","B","LF","DENSIOM","17","U",194401,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"168",11625,"CANCOVERW","B","RT","DENSIOM","17","U",194402,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"169",11625,"CANCOVERW","C","CU","DENSIOM","17","U",194447,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"170",11625,"CANCOVERW","C","CL","DENSIOM","17","U",194448,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"171",11625,"CANCOVERW","C","CD","DENSIOM","17","U",194449,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"172",11625,"CANCOVERW","C","CR","DENSIOM","17","U",194450,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"173",11625,"CANCOVERW","C","LF","DENSIOM","17","U",194451,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"174",11625,"CANCOVERW","C","RT","DENSIOM","17","U",194452,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"175",11625,"CANCOVERW","D","CU","DENSIOM","17","U",194492,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"176",11625,"CANCOVERW","D","CL","DENSIOM","17","U",194493,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"177",11625,"CANCOVERW","D","CD","DENSIOM","17","U",194494,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"178",11625,"CANCOVERW","D","CR","DENSIOM","17","U",194495,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"179",11625,"CANCOVERW","D","LF","DENSIOM","17","U",194496,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"180",11625,"CANCOVERW","D","RT","DENSIOM","17","U",194497,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"181",11625,"CANCOVERW","E","CU","DENSIOM","4",NA,194542,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","4",4,"4"
"182",11625,"CANCOVERW","E","CL","DENSIOM","12",NA,194543,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","12",12,"12"
"183",11625,"CANCOVERW","E","CD","DENSIOM","4",NA,194544,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","4",4,"4"
"184",11625,"CANCOVERW","E","CR","DENSIOM","7",NA,194545,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7",7,"7"
"185",11625,"CANCOVERW","E","LF","DENSIOM","17",NA,194546,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"186",11625,"CANCOVERW","E","RT","DENSIOM","6",NA,194547,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","6",6,"6"
"187",11625,"CANCOVERW","F","CU","DENSIOM","12",NA,194592,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","12",12,"12"
"188",11625,"CANCOVERW","F","CL","DENSIOM","7",NA,194593,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7",7,"7"
"189",11625,"CANCOVERW","F","CD","DENSIOM","7",NA,194594,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7",7,"7"
"190",11625,"CANCOVERW","F","CR","DENSIOM","16",NA,194595,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","16",16,"16"
"191",11625,"CANCOVERW","F","LF","DENSIOM","17",NA,194596,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"192",11625,"CANCOVERW","F","RT","DENSIOM","17",NA,194597,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","17",17,"17"
"193",11625,"CANCOVERW","G","CU","DENSIOM","12",NA,194642,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","12",12,"12"
"194",11625,"CANCOVERW","G","CL","DENSIOM","12",NA,194643,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","12",12,"12"
