"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"113",11625,"BANKW","A","LF","ANGLE","20","U",194343,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","20",20,20
"114",11625,"BANKW","A","RT","ANGLE","20","U",194344,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","20",20,20
"117",11625,"BANKW","B","LF","ANGLE","35","U",194393,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","35",35,35
"118",11625,"BANKW","B","RT","ANGLE","30","U",194394,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","30",30,30
"121",11625,"BANKW","C","LF","ANGLE","30","U",194443,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","30",30,30
"122",11625,"BANKW","C","RT","ANGLE","30","U",194444,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","30",30,30
"125",11625,"BANKW","D","LF","ANGLE","30","U",194488,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","30",30,30
"126",11625,"BANKW","D","RT","ANGLE","30","U",194489,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","30",30,30
"129",11625,"BANKW","E","LF","ANGLE","50",NA,194538,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","50",50,50
"130",11625,"BANKW","E","RT","ANGLE","24",NA,194539,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","24",24,24
"133",11625,"BANKW","F","LF","ANGLE","35",NA,194588,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","35",35,35
"134",11625,"BANKW","F","RT","ANGLE","20",NA,194589,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","20",20,20
"137",11625,"BANKW","G","LF","ANGLE","40",NA,194638,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","40",40,40
