"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"424",11625,"THALW","A","0","WETWIDTH","7.8",NA,261503,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7.8",7.8,7.8
"425",11625,"THALW","A","5","WETWIDTH","7.5",NA,261504,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7.5",7.5,7.5
"456",11625,"THALW","B","0","WETWIDTH","8","F_1",261535,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","8",8,8
"457",11625,"THALW","B","5","WETWIDTH","7.4",NA,261536,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7.4",7.4,7.4
"488",11625,"THALW","C","5","WETWIDTH","7.5",NA,261567,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7.5",7.5,7.5
"519",11625,"THALW","D","0","WETWIDTH","10","F_1",261598,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","10",10,10
"520",11625,"THALW","D","5","WETWIDTH","10",NA,261599,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","10",10,10
"548",11625,"THALW","E","0","WETWIDTH","11.8",NA,261627,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","11.8",11.8,11.8
"549",11625,"THALW","E","5","WETWIDTH","11.2",NA,261628,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","11.2",11.2,11.2
"579",11625,"THALW","F","0","WETWIDTH","8.3",NA,261658,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","8.3",8.3,8.3
"580",11625,"THALW","F","5","WETWIDTH","10.2",NA,261659,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","10.2",10.2,10.2
"607",11625,"THALW","I","0","WETWIDTH","9",NA,261698,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","9",9,9
"608",11625,"THALW","I","5","WETWIDTH","7.5",NA,261699,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","7.5",7.5,7.5
"638",11625,"THALW","H","0","WETWIDTH","9",NA,261729,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","9",9,9
"639",11625,"THALW","H","5","WETWIDTH","4",NA,261730,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","4",4,4
"667",11625,"THALW","J","0","WETWIDTH","10",NA,261758,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","10",10,10
"668",11625,"THALW","J","5","WETWIDTH","6",NA,261759,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8003","LS","6",6,6
"694",11625,"THALW","G","0","WETWIDTH","9.7",NA,264641,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8003","LS","9.7",9.7,9.7
"695",11625,"THALW","G","5","WETWIDTH","5.4",NA,264642,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8003","LS","5.4",5.4,5.4
"1807",11626,"THALW","B","5","WETWIDTH","10.1",NA,262308,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","10.1",10.1,10.1
"1874",11626,"THALW","B","0","WETWIDTH","8.6",NA,262307,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","8.6",8.6,8.6
"1883",11626,"THALW","F","0","WETWIDTH","6.4",NA,262437,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","6.4",6.4,6.4
"1884",11626,"THALW","F","5","WETWIDTH","5.2",NA,262438,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","5.2",5.2,5.2
"1914",11626,"THALW","G","0","WETWIDTH","5.6",NA,262468,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","5.6",5.6,5.6
"2001",11626,"THALW","J","5","WETWIDTH","6.8",NA,262555,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","6.8",6.8,6.8
"2036",11626,"THALW","G","5","WETWIDTH","3.6",NA,262469,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","3.6",3.6,3.6
"2087",11626,"THALW","A","0","WETWIDTH","11.2",NA,262277,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","11.2",11.2,11.2
